date,industry,employed_000s,yoy_change_000s,yoy_growth_pct
2015-02-01,Accommodation and Food Services,842.5,,
2015-05-01,Accommodation and Food Services,827.4,,
2015-08-01,Accommodation and Food Services,805.5,,
2015-11-01,Accommodation and Food Services,828.4,,
2016-02-01,Accommodation and Food Services,836.0,-6.5,-0.77
2016-05-01,Accommodation and Food Services,843.2,15.8,1.91
2016-08-01,Accommodation and Food Services,853.2,47.7,5.92
2016-11-01,Accommodation and Food Services,846.0,17.6,2.12
2017-02-01,Accommodation and Food Services,851.6,15.6,1.87
2017-05-01,Accommodation and Food Services,869.3,26.1,3.1
2017-08-01,Accommodation and Food Services,884.7,31.5,3.6900000000000004
2017-11-01,Accommodation and Food Services,871.9,25.9,3.06
2018-02-01,Accommodation and Food Services,863.3,11.7,1.37
2018-05-01,Accommodation and Food Services,890.9,21.6,2.48
2018-08-01,Accommodation and Food Services,868.5,-16.2,-1.83
2018-11-01,Accommodation and Food Services,885.3,13.4,1.54
2019-02-01,Accommodation and Food Services,889.8,26.5,3.0700000000000003
2019-05-01,Accommodation and Food Services,901.8,10.9,1.22
2019-08-01,Accommodation and Food Services,909.3,40.8,4.7
2019-11-01,Accommodation and Food Services,914.4,29.1,3.29
2020-02-01,Accommodation and Food Services,916.9,27.1,3.05
2020-05-01,Accommodation and Food Services,644.8,-257.0,-28.499999999999996
2020-08-01,Accommodation and Food Services,782.2,-127.1,-13.98
2020-11-01,Accommodation and Food Services,819.8,-94.6,-10.35
2021-02-01,Accommodation and Food Services,836.6,-80.3,-8.76
2021-05-01,Accommodation and Food Services,879.5,234.7,36.4
2021-08-01,Accommodation and Food Services,812.1,29.9,3.82
2021-11-01,Accommodation and Food Services,847.0,27.2,3.32
2022-02-01,Accommodation and Food Services,889.3,52.7,6.3
2022-05-01,Accommodation and Food Services,903.3,23.8,2.71
2022-08-01,Accommodation and Food Services,926.9,114.8,14.14
2022-11-01,Accommodation and Food Services,952.5,105.5,12.46
2023-02-01,Accommodation and Food Services,941.1,51.8,5.82
2023-05-01,Accommodation and Food Services,944.1,40.8,4.52
2023-08-01,Accommodation and Food Services,918.4,-8.5,-0.9199999999999999
2023-11-01,Accommodation and Food Services,890.3,-62.2,-6.529999999999999
2024-02-01,Accommodation and Food Services,909.7,-31.4,-3.34
2024-05-01,Accommodation and Food Services,940.4,-3.7,-0.38999999999999996
2024-08-01,Accommodation and Food Services,968.6,50.2,5.47
2024-11-01,Accommodation and Food Services,966.8,76.5,8.59
2025-02-01,Accommodation and Food Services,961.9,52.2,5.74
2025-05-01,Accommodation and Food Services,939.6,-0.8,-0.09
2025-08-01,Accommodation and Food Services,957.1,-11.5,-1.1900000000000002
2025-11-01,Accommodation and Food Services,983.0,16.2,1.68
2026-02-01,Accommodation and Food Services,962.2,0.3,0.03
2015-02-01,Administrative and Support Services,393.0,,
2015-05-01,Administrative and Support Services,409.3,,
2015-08-01,Administrative and Support Services,411.5,,
2015-11-01,Administrative and Support Services,418.5,,
2016-02-01,Administrative and Support Services,434.8,41.8,10.639999999999999
2016-05-01,Administrative and Support Services,411.5,2.2,0.54
2016-08-01,Administrative and Support Services,444.0,32.5,7.9
2016-11-01,Administrative and Support Services,438.4,19.9,4.760000000000001
2017-02-01,Administrative and Support Services,422.7,-12.1,-2.78
2017-05-01,Administrative and Support Services,389.6,-21.9,-5.319999999999999
2017-08-01,Administrative and Support Services,401.8,-42.2,-9.5
2017-11-01,Administrative and Support Services,412.2,-26.2,-5.9799999999999995
2018-02-01,Administrative and Support Services,414.7,-8.0,-1.8900000000000001
2018-05-01,Administrative and Support Services,415.6,26.0,6.67
2018-08-01,Administrative and Support Services,395.3,-6.5,-1.6199999999999999
2018-11-01,Administrative and Support Services,414.6,2.4,0.58
2019-02-01,Administrative and Support Services,425.1,10.4,2.5100000000000002
2019-05-01,Administrative and Support Services,458.8,43.2,10.39
2019-08-01,Administrative and Support Services,467.2,71.9,18.19
2019-11-01,Administrative and Support Services,439.7,25.1,6.05
2020-02-01,Administrative and Support Services,438.6,13.5,3.18
2020-05-01,Administrative and Support Services,384.9,-73.9,-16.11
2020-08-01,Administrative and Support Services,394.7,-72.5,-15.52
2020-11-01,Administrative and Support Services,448.3,8.6,1.96
2021-02-01,Administrative and Support Services,386.1,-52.5,-11.97
2021-05-01,Administrative and Support Services,412.2,27.3,7.090000000000001
2021-08-01,Administrative and Support Services,403.1,8.4,2.13
2021-11-01,Administrative and Support Services,441.9,-6.4,-1.43
2022-02-01,Administrative and Support Services,414.3,28.2,7.3
2022-05-01,Administrative and Support Services,426.2,14.0,3.4000000000000004
2022-08-01,Administrative and Support Services,437.7,34.6,8.58
2022-11-01,Administrative and Support Services,460.2,18.3,4.14
2023-02-01,Administrative and Support Services,420.4,6.1,1.47
2023-05-01,Administrative and Support Services,403.1,-23.1,-5.42
2023-08-01,Administrative and Support Services,413.0,-24.7,-5.64
2023-11-01,Administrative and Support Services,423.1,-37.1,-8.06
2024-02-01,Administrative and Support Services,421.8,1.4,0.33
2024-05-01,Administrative and Support Services,454.6,51.5,12.78
2024-08-01,Administrative and Support Services,433.9,20.9,5.06
2024-11-01,Administrative and Support Services,428.8,5.7,1.35
2025-02-01,Administrative and Support Services,426.2,4.4,1.04
2025-05-01,Administrative and Support Services,423.8,-30.8,-6.78
2025-08-01,Administrative and Support Services,426.3,-7.6,-1.7500000000000002
2025-11-01,Administrative and Support Services,436.1,7.3,1.7000000000000002
2026-02-01,Administrative and Support Services,439.2,13.0,3.05
2015-02-01,"Agriculture, Forestry and Fishing",314.2,,
2015-05-01,"Agriculture, Forestry and Fishing",292.5,,
2015-08-01,"Agriculture, Forestry and Fishing",306.6,,
2015-11-01,"Agriculture, Forestry and Fishing",315.1,,
2016-02-01,"Agriculture, Forestry and Fishing",317.7,3.5,1.11
2016-05-01,"Agriculture, Forestry and Fishing",327.1,34.6,11.83
2016-08-01,"Agriculture, Forestry and Fishing",302.1,-4.5,-1.47
2016-11-01,"Agriculture, Forestry and Fishing",295.6,-19.5,-6.1899999999999995
2017-02-01,"Agriculture, Forestry and Fishing",300.6,-17.1,-5.38
2017-05-01,"Agriculture, Forestry and Fishing",315.9,-11.2,-3.42
2017-08-01,"Agriculture, Forestry and Fishing",333.3,31.2,10.33
2017-11-01,"Agriculture, Forestry and Fishing",331.2,35.6,12.04
2018-02-01,"Agriculture, Forestry and Fishing",329.8,29.2,9.71
2018-05-01,"Agriculture, Forestry and Fishing",328.5,12.6,3.9899999999999998
2018-08-01,"Agriculture, Forestry and Fishing",326.5,-6.8,-2.04
2018-11-01,"Agriculture, Forestry and Fishing",334.4,3.2,0.97
2019-02-01,"Agriculture, Forestry and Fishing",337.7,7.9,2.4
2019-05-01,"Agriculture, Forestry and Fishing",325.3,-3.2,-0.97
2019-08-01,"Agriculture, Forestry and Fishing",315.5,-11.0,-3.37
2019-11-01,"Agriculture, Forestry and Fishing",315.4,-19.0,-5.680000000000001
2020-02-01,"Agriculture, Forestry and Fishing",324.4,-13.3,-3.94
2020-05-01,"Agriculture, Forestry and Fishing",345.0,19.7,6.0600000000000005
2020-08-01,"Agriculture, Forestry and Fishing",356.2,40.7,12.9
2020-11-01,"Agriculture, Forestry and Fishing",342.4,27.0,8.559999999999999
2021-02-01,"Agriculture, Forestry and Fishing",333.5,9.1,2.81
2021-05-01,"Agriculture, Forestry and Fishing",310.9,-34.1,-9.879999999999999
2021-08-01,"Agriculture, Forestry and Fishing",318.5,-37.7,-10.58
2021-11-01,"Agriculture, Forestry and Fishing",333.0,-9.4,-2.75
2022-02-01,"Agriculture, Forestry and Fishing",305.0,-28.5,-8.55
2022-05-01,"Agriculture, Forestry and Fishing",285.5,-25.4,-8.17
2022-08-01,"Agriculture, Forestry and Fishing",294.2,-24.3,-7.630000000000001
2022-11-01,"Agriculture, Forestry and Fishing",302.2,-30.8,-9.25
2023-02-01,"Agriculture, Forestry and Fishing",301.3,-3.7,-1.21
2023-05-01,"Agriculture, Forestry and Fishing",294.1,8.6,3.01
2023-08-01,"Agriculture, Forestry and Fishing",292.4,-1.8,-0.61
2023-11-01,"Agriculture, Forestry and Fishing",306.7,4.5,1.49
2024-02-01,"Agriculture, Forestry and Fishing",320.5,19.2,6.370000000000001
2024-05-01,"Agriculture, Forestry and Fishing",327.8,33.7,11.459999999999999
2024-08-01,"Agriculture, Forestry and Fishing",321.4,29.0,9.92
2024-11-01,"Agriculture, Forestry and Fishing",303.3,-3.4,-1.11
2025-02-01,"Agriculture, Forestry and Fishing",294.0,-26.5,-8.27
2025-05-01,"Agriculture, Forestry and Fishing",296.5,-31.3,-9.55
2025-08-01,"Agriculture, Forestry and Fishing",294.3,-27.1,-8.43
2025-11-01,"Agriculture, Forestry and Fishing",270.0,-33.3,-10.979999999999999
2026-02-01,"Agriculture, Forestry and Fishing",294.9,0.9,0.31
2015-02-01,Arts and Recreation Services,236.9,,
2015-05-01,Arts and Recreation Services,228.5,,
2015-08-01,Arts and Recreation Services,221.9,,
2015-11-01,Arts and Recreation Services,232.2,,
2016-02-01,Arts and Recreation Services,237.9,1.0,0.42
2016-05-01,Arts and Recreation Services,228.7,0.2,0.09
2016-08-01,Arts and Recreation Services,235.0,13.1,5.8999999999999995
2016-11-01,Arts and Recreation Services,211.8,-20.4,-8.790000000000001
2017-02-01,Arts and Recreation Services,209.1,-28.8,-12.11
2017-05-01,Arts and Recreation Services,228.7,0.0,0.0
2017-08-01,Arts and Recreation Services,243.2,8.2,3.49
2017-11-01,Arts and Recreation Services,247.8,36.0,17.0
2018-02-01,Arts and Recreation Services,249.6,40.5,19.37
2018-05-01,Arts and Recreation Services,245.1,16.4,7.17
2018-08-01,Arts and Recreation Services,250.2,7.0,2.88
2018-11-01,Arts and Recreation Services,239.2,-8.6,-3.47
2019-02-01,Arts and Recreation Services,249.7,0.1,0.04
2019-05-01,Arts and Recreation Services,254.7,9.6,3.92
