date,new_rate,rate_change,decision,era
2015-01-02,2.5,0.0,hold,low-rate era
2015-02-02,2.5,-0.25,cut,low-rate era
2015-03-02,2.25,0.0,hold,low-rate era
2015-04-01,2.25,0.0,hold,low-rate era
2015-05-01,2.25,-0.25,cut,low-rate era
2015-06-01,2.0,0.0,hold,low-rate era
2015-07-01,2.0,0.0,hold,low-rate era
2015-08-03,2.0,0.0,hold,low-rate era
2015-09-01,2.0,0.0,hold,low-rate era
2015-10-01,2.0,0.0,hold,low-rate era
2015-11-02,2.0,0.0,hold,low-rate era
2015-12-01,2.0,0.0,hold,low-rate era
2016-01-04,2.0,0.0,hold,low-rate era
2016-02-01,2.0,0.0,hold,low-rate era
2016-03-01,2.0,0.0,hold,low-rate era
2016-04-01,2.0,0.0,hold,low-rate era
2016-05-02,2.0,-0.25,cut,low-rate era
2016-06-01,1.75,0.0,hold,low-rate era
2016-07-01,1.75,0.0,hold,low-rate era
2016-08-01,1.75,-0.25,cut,low-rate era
2016-09-01,1.5,0.0,hold,low-rate era
2016-10-03,1.5,0.0,hold,low-rate era
2016-11-01,1.5,0.0,hold,low-rate era
2016-12-01,1.5,0.0,hold,low-rate era
2017-01-03,1.5,0.0,hold,low-rate era
2017-02-01,1.5,0.0,hold,low-rate era
2017-03-01,1.5,0.0,hold,low-rate era
2017-04-03,1.5,0.0,hold,low-rate era
2017-05-01,1.5,0.0,hold,low-rate era
2017-06-01,1.5,0.0,hold,low-rate era
2017-07-03,1.5,0.0,hold,low-rate era
2017-08-01,1.5,0.0,hold,low-rate era
2017-09-01,1.5,0.0,hold,low-rate era
2017-10-02,1.5,0.0,hold,low-rate era
2017-11-01,1.5,0.0,hold,low-rate era
2017-12-01,1.5,0.0,hold,low-rate era
2018-01-02,1.5,0.0,hold,low-rate era
2018-02-01,1.5,0.0,hold,low-rate era
2018-03-01,1.5,0.0,hold,low-rate era
2018-04-03,1.5,0.0,hold,low-rate era
2018-05-01,1.5,0.0,hold,low-rate era
2018-06-01,1.5,0.0,hold,low-rate era
2018-07-02,1.5,0.0,hold,low-rate era
2018-08-01,1.5,0.0,hold,low-rate era
2018-09-03,1.5,0.0,hold,low-rate era
2018-10-01,1.5,0.0,hold,low-rate era
2018-11-01,1.5,0.0,hold,low-rate era
2018-12-03,1.5,0.0,hold,low-rate era
2019-01-02,1.5,0.0,hold,pre-COVID
2019-02-01,1.5,0.0,hold,pre-COVID
2019-03-01,1.5,0.0,hold,pre-COVID
2019-04-01,1.5,0.0,hold,pre-COVID
2019-05-01,1.5,0.0,hold,pre-COVID
2019-06-03,1.5,-0.25,cut,pre-COVID
2019-07-01,1.25,-0.25,cut,pre-COVID
2019-08-01,1.0,0.0,hold,pre-COVID
2019-09-02,1.0,0.0,hold,pre-COVID
2019-10-01,1.0,-0.25,cut,pre-COVID
2019-11-01,0.75,0.0,hold,pre-COVID
2019-12-02,0.75,0.0,hold,pre-COVID
2020-01-02,0.75,0.0,hold,COVID
2020-02-03,0.75,0.0,hold,COVID
2020-03-02,0.75,-0.25,cut,COVID
2020-03-02,0.75,-0.25,cut,COVID
2020-04-01,0.25,0.0,hold,COVID
2020-05-01,0.25,0.0,hold,COVID
2020-06-01,0.25,0.0,hold,COVID
2020-07-01,0.25,0.0,hold,COVID
