date,sentiment_score,is_pessimistic,mom_change,rolling_6m_avg,sentiment_gap,pessimism_streak,source
2015-01-01,112.6,False,,,,0,ANZ-Roy Morgan Consumer Confidence Index
2015-02-01,111.2,False,-1.4,,,0,ANZ-Roy Morgan Consumer Confidence Index
2015-03-01,111.3,False,0.1,111.7,-0.4,0,ANZ-Roy Morgan Consumer Confidence Index
2015-04-01,110.5,False,-0.8,111.4,-0.9,0,ANZ-Roy Morgan Consumer Confidence Index
2015-05-01,111.9,False,1.4,111.5,0.4,0,ANZ-Roy Morgan Consumer Confidence Index
2015-06-01,113.5,False,1.6,111.83,1.67,0,ANZ-Roy Morgan Consumer Confidence Index
2015-07-01,111.7,False,-1.8,111.68,0.02,0,ANZ-Roy Morgan Consumer Confidence Index
2015-08-01,112.9,False,1.2,111.97,0.93,0,ANZ-Roy Morgan Consumer Confidence Index
2015-09-01,110.0,False,-2.9,111.75,-1.75,0,ANZ-Roy Morgan Consumer Confidence Index
2015-10-01,112.4,False,2.4,112.07,0.33,0,ANZ-Roy Morgan Consumer Confidence Index
2015-11-01,115.3,False,2.9,112.63,2.67,0,ANZ-Roy Morgan Consumer Confidence Index
2015-12-01,114.8,False,-0.5,112.85,1.95,0,ANZ-Roy Morgan Consumer Confidence Index
2016-01-01,114.0,False,-0.8,113.23,0.77,0,ANZ-Roy Morgan Consumer Confidence Index
2016-02-01,112.7,False,-1.3,113.2,-0.5,0,ANZ-Roy Morgan Consumer Confidence Index
2016-03-01,114.6,False,1.9,113.97,0.63,0,ANZ-Roy Morgan Consumer Confidence Index
2016-04-01,113.5,False,-1.1,114.15,-0.65,0,ANZ-Roy Morgan Consumer Confidence Index
2016-05-01,114.6,False,1.1,114.03,0.57,0,ANZ-Roy Morgan Consumer Confidence Index
2016-06-01,116.3,False,1.7,114.28,2.02,0,ANZ-Roy Morgan Consumer Confidence Index
2016-07-01,115.6,False,-0.7,114.55,1.05,0,ANZ-Roy Morgan Consumer Confidence Index
2016-08-01,118.0,False,2.4,115.43,2.57,0,ANZ-Roy Morgan Consumer Confidence Index
2016-09-01,116.6,False,-1.4,115.77,0.83,0,ANZ-Roy Morgan Consumer Confidence Index
2016-10-01,118.5,False,1.9,116.6,1.9,0,ANZ-Roy Morgan Consumer Confidence Index
2016-11-01,115.9,False,-2.6,116.82,-0.92,0,ANZ-Roy Morgan Consumer Confidence Index
2016-12-01,115.8,False,-0.1,116.73,-0.93,0,ANZ-Roy Morgan Consumer Confidence Index
2017-01-01,118.6,False,2.8,117.23,1.37,0,ANZ-Roy Morgan Consumer Confidence Index
2017-02-01,116.7,False,-1.9,117.02,-0.32,0,ANZ-Roy Morgan Consumer Confidence Index
2017-03-01,113.2,False,-3.5,116.45,-3.25,0,ANZ-Roy Morgan Consumer Confidence Index
2017-04-01,112.2,False,-1.0,115.4,-3.2,0,ANZ-Roy Morgan Consumer Confidence Index
